City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Koyelga,RU,54.65,60.9,53.56,92,70,10.69,light rain
335,Calbuco,CL,-41.77,-73.13,48.2,81,0,10.29,clear sky
336,Bajil,YE,15.06,43.29,93.49,48,98,2.46,overcast clouds
337,Dubbo,AU,-32.25,148.62,42.8,93,40,12.75,scattered clouds
338,Hetauda,NP,27.43,85.03,74.5,81,85,4.92,overcast clouds
339,Grand Gaube,MU,-20.01,57.66,70.0,68,32,3.0,scattered clouds
340,Puerto Ayacucho,VE,5.66,-67.62,78.8,88,75,6.93,shower rain
341,Bozoum,CF,6.32,16.38,70.09,94,92,2.13,light rain
342,Kaoma,ZM,-14.78,24.8,73.45,32,88,7.65,overcast clouds
343,Sambava,MG,-14.27,50.17,68.85,84,1,11.97,clear sky
344,Pangnirtung,CA,66.15,-65.71,55.4,76,20,8.05,few clouds
345,Omboue,GA,-1.57,9.26,74.41,79,92,8.61,overcast clouds
346,Tromso,NO,69.65,18.96,51.8,81,82,29.97,broken clouds
347,Yenagoa,NG,4.92,6.26,74.89,91,100,3.91,overcast clouds
348,Trincomalee,LK,8.57,81.23,78.78,82,62,10.04,broken clouds
349,Saint Anthony,US,45.02,-93.22,88.0,48,1,11.41,clear sky
350,Dawei,MM,14.08,98.2,74.73,93,100,1.45,light rain
351,Pandan,PH,14.05,124.17,80.29,87,71,8.19,broken clouds
352,Hualmay,PE,-11.1,-77.61,64.35,71,77,8.05,broken clouds
353,Atambua,ID,-9.11,124.89,67.95,78,1,4.12,clear sky
354,Hervey Bay,AU,-25.3,152.85,55.99,76,0,9.17,clear sky
355,Luganville,VU,-15.53,167.17,77.0,100,75,7.81,shower rain
356,Port Lincoln,AU,-34.73,135.87,48.97,66,0,20.18,clear sky
357,Krasnyy Kholm,RU,58.06,37.12,55.29,74,0,5.39,clear sky
